,序号,价格,商品名称,图片链接,销量
0,1,26.0,100年润发洗发露去屑洗发水750ml止,..static/goods_img/6/1.jpg,31
1,2,67.0,日本进口资生堂惠润绿野洗发水洗发露600ml,..static/goods_img/6/2.jpg,25000.0
2,3,45.8,力士洗发水液沐浴露套装男女香味持久留香洗,..static/goods_img/6/3.jpg,389
3,4,188.0,【朱一龙亲选】欧莱雅紫安瓶玻尿酸洗发水护发素洗护套装控油蓬松,..static/goods_img/6/4.jpg,40000.0
4,5,219.0,日本潘婷旗舰店官方旗舰洗护套装洗发水柔顺改善毛躁沙发奇迹染烫,..static/goods_img/6/5.jpg,7000
5,6,29.8,青蛙王子洗发沐浴露二合一儿童洗发水宝宝洗护婴儿沐浴乳婴幼儿,..static/goods_img/6/6.jpg,25000.0
6,7,99.9,海飞丝控油去屑洗头发止痒洗发水清爽去油型洗头膏正品官方任选,..static/goods_img/6/7.jpg,45000.0
7,8,89.0,RYO爱茉莉绿吕洗发水清爽无硅油头发控油去屑止痒洗发露400ml*2瓶,..static/goods_img/6/8.jpg,7000
8,9,119.9,VS沙宣洗发水套装去屑止痒清爽控油洗头发膏露男女士官方正品1.5L,..static/goods_img/6/9.jpg,10000.0
9,10,119.9,VS沙宣洗发水护发素套装膏露柔顺改善毛躁洗护官方正品500ml*2,..static/goods_img/6/10.jpg,25000.0
10,11,169.0,三谷防脱洗发水控油蓬松生姜精华滋养固发育发液洗发膏露官方旗舰,..static/goods_img/6/11.jpg,10000.0
11,12,109.9,巴黎欧莱雅透明质酸水润洗发露500ml*3控油温和去头屑无硅柔顺,..static/goods_img/6/12.jpg,10000.0
12,13,89.9,清扬洗发水露C罗男士活力运动控油薄荷冰爽去头屑洗头膏500g*2,..static/goods_img/6/13.jpg,15000.0
13,14,188.0,巴黎欧莱雅美发生姜洗发水护发素控油蓬松强韧丰盈 防脱安瓶套装,..static/goods_img/6/14.jpg,15000.0
14,15,108.0,施华蔻丰盈韧养洗发水控油蓬松柔顺改善毛躁无硅油护发素洗护套装,..static/goods_img/6/15.jpg,6000
15,16,139.0,施华蔻防脱发洗发水增发密发无硅油固发洗发水控油蓬松精华液套装,..static/goods_img/6/16.jpg,9000
16,17,79.9,飘柔洗发水滋润去屑去油洗发水露套装500ml*3去油止痒修护洗护,..static/goods_img/6/17.jpg,10000.0
17,18,169.0,Bodyaid博滴育发密发洗发水正品官方品牌去屑防脱蓬松止痒控油,..static/goods_img/6/18.jpg,7500
18,19,56.0,澳洲进口selsun Gold强去屑止痒控油无硅油洗发水200ml洗发露,..static/goods_img/6/19.jpg,15000.0
19,20,99.0,海飞丝专研去屑1015胺盐洗发水露止痒控油润发乳任选洗头膏护发素,..static/goods_img/6/20.jpg,7500
20,21,380.0,【官方正品】卡诗元气姜粉瓶沁透洗发水控油丰盈蓬松生姜洗发水,..static/goods_img/6/21.jpg,10000.0
21,22,149.0,三谷进化论424洗发水清爽控油蓬松持久留香洗发露官方旗舰店正品,..static/goods_img/6/22.jpg,10000.0
22,23,169.0,BodyAid博滴琴叶生姜防脱育发洗发水300ml×1瓶增发固发去屑控油,..static/goods_img/6/23.jpg,9500
23,24,89.9,清扬清樱花露男女士洗发水露去头屑洗头膏控油清洁500g*2,..static/goods_img/6/24.jpg,15000.0
24,25,69.9,潘婷氨基酸乳液洗护1000g/套+3分钟发膜70ml强韧修护干枯发,..static/goods_img/6/25.jpg,35000.0
25,26,39.0,红绿棕吕洗发水正品旗舰店官方紫吕控油去屑止痒洗头膏柔顺护发素,..static/goods_img/6/26.jpg,15000.0
26,27,189.0,HairRecipe发之食谱无花果护发素无硅控油去油蓬松洗发水露套装,..static/goods_img/6/27.jpg,7000
27,28,380.0,【官方旗舰】卡诗双重功能洗发水控油无硅油蓬松去油清洁,..static/goods_img/6/28.jpg,1962
28,29,190.0,欧舒丹洗发水草本强韧修护头皮护理控油男女清洁柔顺丰盈蓬松正品,..static/goods_img/6/29.jpg,3786
29,30,59.0,同仁堂生姜洗发水防脱发生发去屑止痒控油蓬松增发育发男女洗发露,..static/goods_img/6/30.jpg,6000
30,31,36.0,日本惠润洗发水套装绿野芳香控油鲜花洗发露去屑柔顺蓬松600ml,..static/goods_img/6/31.jpg,10000.0
31,32,55.0,spes洗发水海盐洗发膏控油蓬松头皮磨砂膏鱼子酱套装正品官方品牌,..static/goods_img/6/32.jpg,10000.0
32,33,39.0,RNW洗发水去屑止痒控油蓬松正品官方旗舰店品牌氨基酸洗头膏女RWN,..static/goods_img/6/33.jpg,15000.0
33,34,43.5,日本原装 芬浓洗发水 fino柔顺改善毛躁控油蓬松洗发露资润生堂,..static/goods_img/6/34.jpg,7000
34,35,89.0,红色小象儿童沐浴露洗发水二合一786ml×1瓶婴儿沐浴宝宝洗护专用,..static/goods_img/6/35.jpg,10000.0
35,36,129.0,Bodyaid博滴积雪草海盐洗发膏控油蓬松洗发水去屑止痒头皮磨砂膏,..static/goods_img/6/36.jpg,6000
36,37,145.0,日本直邮资生堂洗发水露护发素护理道头皮生机控油止痒防脱强韧,..static/goods_img/6/37.jpg,1308
37,38,98.0,日本amino mason洗发水am氨基研氨基酸无硅油滋润洗护套装护发素,..static/goods_img/6/38.jpg,3023
38,39,239.0,日本MamaKids 婴儿洁肤液沐浴露+洗发液洗发水 宝宝洗护沐浴套装,..static/goods_img/6/39.jpg,1626
39,40,99.0,HairRecipe发之食谱苹果生姜无花果蜂蜜护发蓬松/控油/柔顺洗发水,..static/goods_img/6/40.jpg,5500
40,41,49.0,采乐洗发水去屑止痒控油蓬松持久去头屑洗头水洗头液官方旗舰店,..static/goods_img/6/41.jpg,7500
41,42,316.0,【开学抢先购】馥绿德雅小绿珠洗发水控油无硅油清洁头皮男女正品,..static/goods_img/6/42.jpg,2439
42,43,89.0,无花果洗发水苹果生姜去屑止痒控油蓬松护发素精华沐浴露洗护套装,..static/goods_img/6/43.jpg,7500
